timestamp rtt ttl seq
1439042512.148184 57.2 61 1
1439042512.299488 7.93 62 2
1439042512.498178 6.32 62 3
1439042512.699425 6.90 62 4
1439042512.903950 11.1 62 5
1439042513.100259 6.95 62 6
1439042513.297794 4.12 62 7
1439042513.498755 4.60 62 8
1439042513.699266 4.14 62 9
1439042513.900384 4.76 62 10
1439042514.101162 4.41 62 11
1439042514.301596 4.07 62 12
1439042514.502586 4.63 62 13
1439042514.703039 4.09 62 14
1439042514.903992 4.58 62 15
1439042515.105383 5.02 62 16
1439042515.309178 8.37 62 17
1439042515.510032 8.49 62 18
1439042515.706618 4.24 62 19
1439042515.907237 4.27 62 20
1439042516.107908 4.29 62 21
1439042516.314696 10.4 62 22
1439042516.509345 4.29 62 23
1439042516.709973 4.29 62 24
1439042516.910580 4.24 62 25
1439042517.111275 4.32 62 26
1439042517.311891 4.25 62 27
1439042517.519604 11.3 62 28
1439042517.713393 4.41 62 29
1439042517.914858 5.10 62 30
1439042518.114401 4.18 62 31
1439042518.314815 4.04 62 32
1439042518.515215 4.03 62 33
1439042518.715422 3.85 62 34
1439042518.917006 4.20 62 35
1439042519.122375 8.98 62 36
1439042519.317688 3.94 62 37
1439042519.517656 3.61 62 38
1439042519.718683 3.66 62 39
1439042519.919715 3.66 62 40
1439042520.129238 12.1 62 41
1439042520.322517 4.94 62 42
1439042520.521507 3.62 62 43
1439042520.722532 3.65 62 44
1439042520.927056 7.15 62 45
1439042521.128861 8.44 62 46
1439042521.329209 7.98 62 47
1439042521.526117 4.55 62 48
1439042521.726282 3.82 62 49
1439042521.927469 3.82 62 50
1439042522.128728 3.89 62 51
1439042522.329914 3.83 62 52
1439042522.531236 3.92 62 53
1439042522.731507 3.89 62 54
1439042522.932613 3.77 62 55
1439042523.133521 3.54 62 56
1439042523.334770 3.90 62 57
1439042523.539636 7.50 62 58
1439042523.736772 3.79 62 59
1439042523.938090 3.96 62 60
1439042524.138225 3.78 62 61
1439042524.339846 4.27 62 62
1439042524.540169 3.99 62 63
1439042524.740600 4.06 62 64
1439042524.940747 3.75 62 65
1439042525.169769 31.6 62 66
1439042525.653739 106 62 68
1439042525.752015 4.01 62 69
1439042525.952784 4.40 62 70
1439042526.153916 4.75 62 71
1439042526.354277 4.01 62 72
1439042526.554643 4.01 62 73
1439042526.755000 4.01 62 74
1439042526.955462 4.09 62 75
1439042527.155963 4.15 62 76
1439042527.356336 4.02 62 77
1439042527.556709 4.00 62 78
1439042527.759717 6.64 62 79
1439042527.958101 4.00 62 80
1439042528.158580 4.11 62 81
1439042528.358953 4.02 62 82
1439042528.559463 4.14 62 83
1439042528.759841 4.01 62 84
1439042528.960217 4.00 62 85
1439042529.160697 4.10 62 86
1439042529.361064 3.99 62 87
1439042529.561474 4.05 62 88
1439042529.761648 3.81 62 89
1439042529.972734 13.7 62 90
1439042530.164511 4.41 62 91
1439042530.364657 3.78 62 92
1439042530.565714 3.71 62 93
1439042530.767100 4.03 62 94
1439042530.967262 3.80 62 95
1439042531.180046 15.4 62 96
1439042531.369181 3.80 62 97
1439042531.570414 3.87 62 98
1439042531.776317 8.55 62 99
1439042531.972717 4.04 62 100
1439042532.172691 3.61 62 101
1439042532.373600 3.53 62 102
1439042532.574644 3.64 62 103
1439042532.777048 4.99 62 104
1439042532.979858 7.43 62 105
1439042533.177528 4.27 62 106
1439042533.377763 3.83 62 107
1439042533.579545 4.40 62 108
1439042533.780056 4.16 62 109
1439042533.980291 3.86 62 110
1439042534.181694 3.93 62 111
1439042534.381912 3.82 62 112
1439042534.583109 3.87 62 113
1439042534.784228 3.78 62 114
1439042534.985324 3.79 62 115
1439042535.186559 3.86 62 116
1439042535.387668 3.77 62 117
1439042535.588871 3.82 62 118
1439042535.790229 4.01 62 119
1439042535.995759 9.11 62 120
1439042536.191875 4.74 62 121
1439042536.391782 3.53 62 122
1439042536.592848 3.66 62 123
1439042536.793889 3.63 62 124
1439042536.994850 3.56 62 125
1439042537.195862 3.61 62 126
1439042537.398711 5.46 62 127
