timestamp rtt ttl seq
1439044886.675914 4.58 62 1
1439044886.883387 11.0 62 2
1439044887.118550 45.7 62 3
1439044887.289620 15.8 62 4
1439044887.479117 4.25 62 5
1439044887.888038 4.39 62 7
1439044888.090471 6.06 62 8
1439044888.293864 9.01 62 9
1439044888.488701 3.62 62 10
1439044888.690221 4.15 62 11
1439044888.892312 5.72 62 12
1439044889.092413 4.72 62 13
1439044889.292797 4.00 62 14
1439044889.495019 5.84 62 15
1439044889.694420 4.03 62 16
1439044889.894735 3.95 62 17
1439044890.095085 3.99 62 18
1439044890.349828 58.3 62 19
1439044890.495554 3.42 62 20
1439044890.696516 3.61 62 21
1439044890.901641 7.77 62 22
1439044891.100015 5.01 62 23
1439044891.305482 10.1 62 24
1439044891.501904 6.06 62 25
1439044891.722979 26.7 62 26
1439044891.916135 18.8 62 27
1439044892.111311 12.8 62 28
1439044892.303555 3.88 62 29
1439044892.504804 3.88 62 30
1439044892.706445 5.25 62 31
1439044892.905170 3.38 62 32
1439044893.105881 3.32 62 33
1439044893.306272 3.16 62 34
1439044893.507311 3.65 62 35
1439044893.708320 3.65 62 36
1439044893.910308 4.66 62 37
1439044894.110654 4.00 62 38
1439044894.431938 124 62 39
1439044894.535093 27.9 62 40
1439044894.713671 6.24 62 41
1439044894.913111 5.09 62 42
1439044895.113415 4.93 62 43
1439044895.312072 3.30 62 44
1439044895.517264 7.95 62 45
1439044895.713903 4.27 62 46
1439044895.915015 4.75 62 47
1439044896.118257 6.86 62 48
1439044896.318794 6.17 62 49
1439044896.517917 4.77 62 50
1439044896.719484 5.21 62 51
1439044896.925238 10.3 62 52
1439044897.121510 5.91 62 53
1439044897.322290 6.35 62 54
1439044897.520133 3.52 62 55
1439044897.720981 3.52 62 56
1439044897.922455 4.11 62 57
1439044898.122433 3.60 62 58
1439044898.327998 8.21 62 59
1439044898.524522 4.14 62 60
1439044898.731971 11.0 62 61
1439044898.925657 4.35 62 62
1439044899.127105 5.16 62 63
1439044899.326766 4.32 62 64
1439044899.529002 5.85 62 65
1439044899.735795 11.4 62 66
1439044899.934576 9.44 62 67
1439044900.130186 4.21 62 68
1439044900.331085 4.54 62 69
1439044900.531187 3.93 62 70
1439044900.732985 5.48 62 71
1439044900.938824 10.4 62 72
1439044901.133368 4.18 62 73
1439044901.333325 3.54 62 74
1439044901.535137 4.42 62 75
1439044901.735382 3.86 62 76
1439044901.939204 6.45 62 77
1439044902.138921 5.38 62 78
1439044902.338001 3.71 62 79
1439044902.555813 20.4 62 80
1439044902.742527 6.37 62 81
1439044902.942625 5.76 62 82
1439044903.162319 24.3 62 83
1439044903.355474 16.7 62 84
1439044903.570053 30.2 62 85
1439044903.762834 22.4 62 86
1439044903.948174 7.00 62 87
1439044904.156032 14.4 62 88
1439044904.352485 10.2 62 89
1439044904.547883 5.03 62 90
1439044904.751949 8.71 62 91
1439044904.963793 19.5 62 92
1439044905.162288 17.1 62 93
1439044905.368245 22.5 62 94
1439044905.586845 40.2 62 95
1439044905.752594 5.42 62 96
1439044905.975377 27.4 62 97
1439044906.153904 5.15 62 98
1439044906.353153 3.88 62 99
1439044906.556621 6.09 62 100
1439044906.754747 3.76 62 101
1439044906.977825 25.7 62 102
1439044907.159201 5.99 62 103
1439044907.370156 16.5 62 104
1439044907.568932 14.4 62 105
1439044907.759077 3.77 62 106
1439044907.959983 3.51 62 107
1439044908.161777 4.57 62 108
1439044908.365097 6.94 62 109
1439044908.773500 5.84 62 111
1439044908.978928 10.0 62 112
1439044909.183056 13.7 62 113
1439044909.378531 8.12 62 114
1439044909.575006 4.28 62 115
1439044909.775419 4.02 62 116
1439044909.980400 8.60 62 117
1439044910.185729 12.9 62 118
1439044910.378347 5.25 62 119
1439044910.577825 4.21 62 120
1439044910.778575 4.36 62 121
1439044910.978794 3.87 62 122
1439044911.180690 4.71 62 123
1439044911.387582 10.5 62 124
1439044911.582301 4.35 62 125
1439044911.783690 5.04 62 126
1439044911.983138 4.10 62 127
1439044912.183556 4.09 62 128
1439044912.385250 5.35 62 129
1439044912.585505 4.91 62 130
1439044912.787278 6.43 62 131
1439044912.985356 3.74 62 132
1439044913.191968 9.20 62 133
1439044913.387330 4.04 62 134
1439044913.593120 9.43 62 135
1439044913.789719 5.25 62 136
1439044913.990165 5.06 62 137
1439044914.188967 3.61 62 138
1439044914.393345 7.02 62 139
1439044914.592549 5.85 62 140
1439044914.796131 8.22 62 141
1439044915.001712 13.2 62 142
1439044915.195151 7.04 62 143
1439044915.945164 349 62 145
1439044916.012068 208 62 146
1439044916.125730 121 62 147
1439044916.237196 32.2 62 148
1439044916.420972 15.4 62 149
1439044916.819182 3.51 62 151
1439044917.077557 61.0 62 152
1439044917.222502 5.62 62 153
1439044917.451949 34.1 62 154
1439044917.636531 18.2 62 155
1439044917.823149 4.22 62 156
1439044918.025553 6.02 62 157
1439044918.227882 7.98 62 158
1439044918.584071 163 62 159
1439044918.710210 89.8 62 160
1439044918.845515 24.0 62 161
1439044919.026293 4.40 62 162
1439044919.227191 4.50 62 163
1439044919.427342 3.78 62 164
1439044919.629536 4.82 62 165
1439044919.829952 4.04 62 166
1439044920.030895 4.56 62 167
1439044920.236214 8.96 62 168
1439044920.535016 107 62 169
1439044920.659363 31.0 62 170
1439044920.835544 6.95 62 171
1439044921.032980 4.06 62 172
1439044921.246177 16.8 62 173
1439044921.434194 3.68 62 174
1439044921.634939 3.41 62 175
1439044921.842138 9.82 62 176
1439044922.037665 4.17 62 177
1439044922.242185 8.17 62 178
1439044922.439543 4.98 62 179
1439044922.643011 8.08 62 180
1439044922.849954 14.0 62 181
1439044923.039442 3.12 62 182
1439044923.253025 16.2 62 183
1439044923.448735 11.3 62 184
1439044923.663198 25.1 62 185
1439044923.855596 17.0 62 186
1439044924.044905 6.01 62 187
1439044924.243540 4.24 62 188
1439044924.445838 5.96 62 189
1439044924.644392 4.15 62 190
1439044924.849284 8.53 62 191
1439044925.046405 4.77 62 192
1439044925.278219 35.4 62 193
1439044925.457869 14.3 62 194
1439044925.648853 4.63 62 195
1439044925.864498 19.2 62 196
1439044926.049890 4.06 62 197
1439044926.249905 3.66 62 198
1439044926.450489 3.25 62 199
1439044926.658471 10.6 62 200
1439044926.852045 3.19 62 201
1439044927.055678 6.24 62 202
1439044927.254312 4.23 62 203
1439044927.496479 45.7 62 204
1439044927.671322 19.5 62 205
1439044927.969845 117 62 206
1439044928.086488 33.3 62 207
1439044928.330912 77.1 62 208
1439044928.472506 18.3 62 209
1439044928.696592 41.7 62 210
1439044928.876816 20.9 62 211
1439044929.059972 3.80 62 212
