timestamp rtt ttl seq
1439043624.100651 4.72 62 1
1439043624.298856 7.21 62 2
1439043624.499775 7.70 62 3
1439043624.710452 17.3 62 4
1439043624.916500 22.7 62 5
1439043625.101823 6.94 62 6
1439043625.301633 6.44 62 7
1439043625.522059 26.0 62 8
1439043625.711579 15.1 62 9
1439043625.912301 15.3 62 10
1439043626.115535 18.0 62 11
1439043626.307450 9.56 62 12
1439043626.505510 6.70 62 13
1439043626.707456 7.57 62 14
1439043626.908281 7.44 62 15
1439043627.108733 7.06 62 16
1439043627.321024 18.9 62 17
1439043627.507429 5.06 62 18
1439043627.708966 6.13 62 19
1439043627.910185 6.88 62 20
1439043628.109273 4.74 62 21
1439043628.313873 8.24 62 22
1439043628.534053 27.8 62 23
1439043628.775634 68.2 62 24
1439043628.927639 19.7 62 25
1439043629.124489 15.5 62 26
1439043629.353040 43.2 62 27
1439043629.528188 17.8 62 28
1439043629.720582 9.03 62 29
1439043629.921384 9.45 62 30
1439043630.124424 11.6 62 31
1439043630.322331 8.57 62 32
1439043630.543702 28.9 62 33
1439043630.736260 21.1 62 34
1439043630.926490 10.8 62 35
1439043631.144644 27.7 62 36
1439043631.327482 9.49 62 37
1439043631.542810 23.9 62 38
1439043631.738000 18.8 62 39
1439043631.935903 15.5 62 40
1439043632.137024 15.8 62 41
1439043632.333019 10.6 62 42
1439043632.537650 14.2 62 43
1439043632.745270 21.2 62 44
1439043632.941753 17.1 62 45
1439043633.132911 7.79 62 46
1439043633.335549 9.30 62 47
1439043633.537845 10.8 62 48
1439043633.738386 11.1 62 49
1439043633.935572 7.82 62 50
1439043634.136471 7.53 62 51
1439043634.340866 11.0 62 52
1439043634.540284 10.0 62 53
1439043634.742002 11.3 62 54
1439043634.943675 12.3 62 55
1439043635.140096 8.07 62 56
1439043635.351779 19.3 62 57
1439043635.548566 15.4 62 58
1439043635.753110 19.2 62 59
1439043635.939790 5.35 62 60
1439043636.154139 19.0 62 61
1439043636.340943 5.48 62 62
1439043636.545824 9.53 62 63
1439043636.745846 8.66 62 64
1439043636.948978 10.7 62 65
1439043637.149325 9.94 62 66
1439043637.348845 9.17 62 67
1439043637.552839 12.6 62 68
1439043637.758611 17.3 62 69
1439043637.947358 5.41 62 70
1439043638.161308 18.6 62 71
1439043638.360514 16.8 62 72
1439043638.554053 9.19 62 73
1439043638.772794 27.3 62 74
1439043638.953924 7.79 62 75
1439043639.155458 8.18 62 76
1439043639.374091 26.2 62 77
1439043639.563480 15.0 62 78
1439043639.774700 25.8 62 79
1439043639.961344 11.3 62 80
1439043640.161243 10.5 62 81
1439043640.358439 6.84 62 82
1439043640.565249 12.5 62 83
1439043640.764924 11.3 62 84
1439043640.964758 10.4 62 85
1439043641.164083 8.93 62 86
1439043641.369444 14.0 62 87
1439043641.564157 8.34 62 88
1439043641.766370 9.85 62 89
1439043641.973271 15.5 62 90
1439043642.167094 8.45 62 91
1439043642.373962 14.5 62 92
1439043642.576229 15.9 62 93
1439043642.783014 22.4 62 94
1439043642.975422 14.0 62 95
1439043643.175612 13.8 62 96
1439043643.376812 13.8 62 97
1439043643.582577 18.4 62 98
1439043643.781682 16.7 62 99
1439043643.977736 11.6 62 100
1439043644.183668 16.5 62 101
1439043644.376436 8.40 62 102
1439043644.994262 10.5 62 105
1439043645.198443 13.8 62 106
1439043645.391730 5.94 62 107
1439043645.592480 6.40 62 108
1439043645.828241 41.4 62 109
1439043645.998162 10.6 62 110
1439043646.195792 7.26 62 111
1439043646.396189 7.05 62 112
1439043646.595966 6.42 62 113
1439043646.799454 9.22 62 114
1439043646.997905 7.09 62 115
1439043647.199387 8.13 62 116
1439043647.399511 7.74 62 117
1439043647.601272 8.37 62 118
1439043647.804874 11.2 62 119
1439043648.005576 11.3 62 120
1439043648.203866 9.93 62 121
1439043648.402310 8.09 62 122
1439043648.605964 11.2 62 123
1439043648.808058 12.7 62 124
1439043649.013485 17.1 62 125
1439043649.230623 34.8 62 126
1439043649.406478 9.56 62 127
1439043649.604999 7.20 62 128
1439043649.806305 7.97 62 129
1439043650.006643 7.99 62 130
1439043650.205072 7.06 62 131
1439043650.405285 6.84 62 132
1439043650.606949 7.31 62 133
1439043650.811340 11.0 62 134
1439043651.010252 9.60 62 135
1439043651.212671 11.2 62 136
1439043651.410051 8.03 62 137
1439043651.608812 6.40 62 138
1439043651.810011 6.85 62 139
1439043652.012583 8.22 62 140
1439043652.212825 7.88 62 141
1439043652.416052 9.85 62 142
1439043652.623292 15.8 62 143
1439043652.816105 7.47 62 144
1439043653.020195 10.6 62 145
1439043653.222299 11.7 62 146
1439043653.422198 10.5 62 147
1439043653.628006 15.4 62 148
1439043653.820387 7.08 62 149
1439043654.022151 8.40 62 150
1439043654.221484 7.16 62 151
1439043654.425850 11.0 62 152
1439043654.621736 6.50 62 153
1439043654.821649 5.55 62 154
1439043655.023268 6.23 62 155
1439043655.225584 7.94 62 156
1439043655.425137 7.17 62 157
1439043655.936919 109 62 159
1439043656.035688 7.52 62 160
1439043656.238930 9.88 62 161
