timestamp rtt ttl seq
1439056154.545822 446 62 6
1439056154.629631 113 62 8
1439056155.972152 432 62 13
1439056158.228410 200 62 25
1439056159.055052 203 62 29
1439056159.615099 351 62 31
1439056165.385200 105 62 60
1439056166.518713 207 62 65
1439056166.934764 207 62 67
1439056167.994825 227 62 72
1439056168.060223 84.6 62 73
1439056173.509351 2005 62 90
1439056173.521597 1393 62 93
1439056173.521625 1185 62 94
1439056173.521643 769 62 96
1439056173.527382 151 62 99
1439056173.835100 258 62 100
1439056173.863409 79.8 62 101
1439056174.255639 71.5 62 103
1439056174.450925 66.0 62 104
1439056175.718163 98.4 62 110
1439056176.522946 87.3 62 114
1439056176.936542 92.9 62 116
1439056177.102498 58.7 62 117
1439056177.334239 90.3 62 118
1439056177.518168 73.6 62 119
1439056177.746781 101 62 120
1439056178.197746 152 62 122
1439056180.244333 124 62 132
1439056181.858721 83.1 62 140
1439056182.074953 98.9 62 141
1439056182.218527 43.3 62 142
1439056182.430579 54.7 62 143
1439056182.684356 107 62 144
1439056183.401313 205 62 147
1439056183.476481 80.0 62 148
1439056184.283606 71.6 62 152
1439056184.469765 56.8 62 153
1439056185.090483 58.8 62 156
1439056185.307853 75.3 62 157
1439056185.516778 83.6 62 158
1439056185.918671 75.0 62 160
1439056186.106256 62.2 62 161
1439056186.517972 66.3 62 163
1439056188.163347 263 62 170
1439056188.769896 46.2 62 174
1439056189.014587 90.4 62 175
1439056189.180225 56.3 62 176
1439056189.442382 117 62 177
1439056189.575803 50.2 62 178
1439056190.872112 112 62 184
1439056191.235367 67.7 62 186
1439056191.880664 97.0 62 189
1439056192.906963 715 62 191
1439056192.907447 299 62 193
1439056192.912213 96.5 62 194
1439056193.108675 92.2 62 195
1439056193.509703 86.1 62 197
1439056193.724359 100 62 198
1439056193.912666 88.0 62 199
1439056194.318666 93.0 62 201
1439056195.137089 85.4 62 205
1439056195.540526 80.8 62 207
1439056196.152876 77.2 62 210
1439056196.785291 93.6 62 213
1439056197.579572 71.8 62 217
1439056198.198963 75.3 62 220
1439056199.270352 114 62 225
1439056199.421784 65.2 62 226
1439056200.034022 62.3 62 229
1439056200.516171 136 62 231
1439056200.653374 72.9 62 232
1439056200.866230 85.5 62 233
1439056201.909627 106 62 238
1439056202.174703 170 62 239
1439056202.283093 78.2 62 240
1439056202.565902 160 62 241
1439056202.693318 87.2 62 242
1439056202.909932 103 62 243
1439056203.072274 65.1 62 244
1439056203.277584 69.9 62 245
1439056203.459852 51.6 62 246
1439056203.679926 70.8 62 247
1439056203.905801 95.6 62 248
1439056204.271579 59.5 62 250
1439056204.736862 117 62 252
1439056205.307865 80.0 62 255
1439056205.709810 74.1 62 257
1439056205.922926 86.8 62 258
1439056206.733164 77.5 62 262
1439056206.948493 92.0 62 263
1439056207.350596 92.8 62 265
1439056207.776455 108 62 267
1439056207.952007 83.3 62 268
1439056208.112941 43.6 62 269
1439056208.558499 78.9 62 271
1439056209.573469 685 62 273
1439056209.573513 269 62 275
1439056209.792297 79.5 62 277
1439056210.165292 51.7 62 279
1439056210.613180 89.5 62 281
1439056210.802438 78.0 62 282
1439056210.980785 56.0 62 283
1439056211.186734 61.6 62 284
1439056211.619247 83.5 62 286
1439056211.781231 44.7 62 287
1439056211.997838 60.3 62 288
1439056212.283652 145 62 289
1439056212.474633 135 62 290
1439056213.429554 57.9 62 295
1439056214.053732 66.1 62 298
1439056223.401795 62.1 62 343
1439056224.237484 73.8 62 347
1439056224.420226 55.4 62 348
1439056224.677827 112 62 349
1439056225.703539 103 62 354
1439056225.902426 101 62 355
1439056226.331951 120 62 357
1439056226.991375 579 62 358
1439056226.991430 371 62 359
1439056226.991451 163 62 360
1439056227.503979 60.3 62 363
1439056227.945765 94.1 62 365
1439056228.131060 79.0 62 366
1439056228.390583 138 62 367
1439056229.152250 76.6 62 371
1439056229.535910 52.2 62 373
1439056229.777041 92.8 62 374
1439056230.000346 115 62 375
1439056230.363717 72.1 62 377
1439056230.553127 61.1 62 378
1439056230.754930 62.6 62 379
1439056231.361253 53.6 62 382
1439056231.973423 49.8 62 385
1439056232.392021 60.4 62 387
1439056232.580230 47.9 62 388
1439056232.827982 95.4 62 389
1439056232.994631 61.3 62 390
1439056234.449002 65.3 62 397
1439056235.266455 58.8 62 401
1439056235.738069 122 62 403
1439056235.865295 49.0 62 404
1439056236.067365 50.7 62 405
1439056236.482919 55.2 62 407
1439056236.724627 96.4 62 408
1439056237.134268 98.6 62 410
1439056237.530293 86.6 62 412
1439056237.936947 85.3 62 414
1439056238.133235 81.0 62 415
1439056238.310458 57.9 62 416
1439056238.565353 112 62 417
1439056238.703069 49.4 62 418
1439056238.937587 83.3 62 419
1439056239.222303 167 62 420
1439056239.341455 85.9 62 421
1439056239.503845 48.1 62 422
1439056239.924741 61.1 62 424
1439056240.324622 53.0 62 426
1439056240.556811 84.9 62 427
1439056240.936114 56.4 62 429
1439056241.170574 90.1 62 430
1439056241.351323 70.5 62 431
1439056241.557797 76.2 62 432
1439056241.741786 59.7 62 433
1439056241.950805 67.7 62 434
1439056242.393934 102 62 436
1439056242.549875 57.6 62 437
1439056242.733283 40.1 62 438
1439056242.941225 47.6 62 439
1439056243.640011 336 62 441
1439056243.779447 67.2 62 443
1439056243.960494 47.8 62 444
1439056244.391838 68.2 62 446
1439056244.572136 48.0 62 447
1439056245.001564 69.9 62 449
1439056246.446708 1107 62 451
1439056246.446748 483 62 454
1439056246.446766 275 62 455
1439056246.639609 260 62 456
1439056246.653965 73.9 62 457
1439056246.846605 66.3 62 458
1439056247.045344 64.5 62 459
1439056247.229549 48.9 62 460
1439056247.654946 63.3 62 462
1439056248.084351 84.7 62 464
1439056248.282307 82.6 62 465
1439056248.503535 102 62 466
1439056248.881240 73.6 62 468
1439056249.056558 48.0 62 469
1439056249.259003 50.1 62 470
1439056249.740930 125 62 472
1439056250.120476 96.8 62 474
1439056250.300824 76.1 62 475
1439056250.524330 99.2 62 476
1439056250.887197 51.6 62 478
1439056251.146106 109 62 479
1439056251.726182 74.5 62 482
1439056252.719124 659 62 484
1439056253.363489 63.8 62 490
1439056253.562419 61.7 62 491
1439056253.786095 84.3 62 492
1439056254.192761 91.2 62 494
1439056254.985153 57.5 62 498
1439056255.173325 44.8 62 499
1439056255.393484 63.8 62 500
1439056256.023301 75.6 62 503
1439056256.195377 47.8 62 504
1439056256.415973 67.4 62 505
1439056256.820874 65.2 62 507
1439056257.041014 84.8 62 508
1439056257.206367 50.0 62 509
1439056257.427725 71.0 62 510
1439056257.626615 69.6 62 511
1439056258.857352 57.7 62 517
1439056259.066314 65.6 62 518
1439056259.267762 66.1 62 519
1439056259.700989 89.3 62 521
1439056260.142210 122 62 523
1439056260.312456 92.0 62 524
1439056260.567002 146 62 525
1439056260.962538 134 62 527
1439056261.332629 97.0 62 529
1439056261.707881 64.2 62 531
1439056261.914627 70.4 62 532
1439056262.114729 69.8 62 533
1439056262.340184 94.2 62 534
1439056262.538122 91.6 62 535
1439056262.752219 104 62 536
1439056262.955421 107 62 537
1439056263.525507 61.8 62 540
1439056263.764853 100 62 541
1439056263.991338 126 62 542
1439056264.338849 73.3 62 544
1439056264.559881 93.7 62 545
1439056265.150905 67.3 62 548
1439056265.601868 110 62 550
1439056266.398637 83.0 62 554
1439056266.662276 146 62 555
1439056266.806133 89.6 62 556
1439056267.000070 82.7 62 557
1439056267.214291 96.9 62 558
1439056267.779936 62.3 62 561
1439056268.008318 90.1 62 562
1439056268.677090 141 62 565
1439056269.877418 101 62 571
1439056270.288286 104 62 573
1439056270.490254 105 62 574
1439056271.288676 77.0 62 578
1439056271.449596 37.7 62 579
1439056271.674719 61.8 62 580
1439056271.912748 98.8 62 581
1439056272.294190 70.5 62 583
1439056272.660526 236 62 584
1439056272.716717 85.0 62 585
1439056272.916795 84.8 62 586
1439056273.352913 113 62 588
1439056273.496878 56.6 62 589
1439056273.960674 113 62 591
1439056274.526723 63.0 62 594
1439056274.721215 57.3 62 595
1439056274.950707 86.1 62 596
1439056275.120921 56.0 62 597
1439056275.348409 83.2 62 598
1439056275.533364 67.7 62 599
1439056275.749188 82.5 62 600
1439056275.973490 106 62 601
1439056276.156422 88.7 62 602
1439056276.378394 109 62 603
1439056276.570693 101 62 604
1439056277.205904 118 62 607
1439056278.017433 105 62 611
1439056278.190110 78.4 62 612
1439056278.636823 117 62 614
1439056279.026577 98.9 62 616
1439056279.260017 133 62 617
1439056279.434348 107 62 618
1439056279.856702 121 62 620
1439056280.012051 76.1 62 621
1439056281.368432 196 62 627
1439056282.052189 56.5 62 631
1439056286.461029 105 62 652
1439056286.883732 120 62 654
1439056287.070643 106 62 655
1439056287.305126 141 62 656
1439056287.657956 86.3 62 658
1439056288.109754 130 62 660
1439056288.296938 118 62 661
1439056288.903001 107 62 664
1439056289.113665 117 62 665
1439056289.558943 155 62 667
1439056289.715777 111 62 668
1439056290.312071 92.4 62 671
1439056290.505128 84.9 62 672
1439056290.989915 162 62 674
1439056292.816276 1164 62 678
1439056292.996707 104 62 684
1439056293.406673 107 62 686
1439056293.610511 110 62 687
1439056293.809790 109 62 688
1439056294.285970 178 62 690
1439056294.623970 108 62 692
1439056295.049535 125 62 694
1439056296.103706 148 62 699
1439056296.231994 77.0 62 700
1439056296.485956 130 62 701
1439056296.742021 185 62 702
1439056297.255228 83.5 62 705
1439056297.519086 146 62 706
1439056298.097476 109 62 709
1439056300.199100 139 62 719
1439056300.803376 127 62 722
1439056301.160468 76.8 62 724
1439056301.853124 153 62 727
1439056302.186463 78.8 62 729
1439056303.046055 114 62 733
1439056303.280970 149 62 734
1439056303.474509 142 62 735
1439056303.612451 79.7 62 736
1439056304.093874 150 62 738
1439056304.431515 79.5 62 740
1439056304.660540 107 62 741
1439056305.249923 78.3 62 744
1439056305.454738 82.5 62 745
1439056305.683588 110 62 746
1439056306.261784 70.1 62 749
1439056306.509647 117 62 750
1439056306.711836 118 62 751
1439056306.901374 108 62 752
1439056307.112131 118 62 753
1439056307.309807 116 62 754
1439056307.707337 103 62 756
1439056308.135195 123 62 758
1439056308.768026 140 62 761
1439056309.166516 130 62 763
1439056309.390597 153 62 764
1439056309.551933 114 62 765
1439056309.755629 117 62 766
1439056310.342773 87.1 62 769
1439056311.152391 72.7 62 773
1439056311.580159 92.5 62 775
1439056312.298409 194 62 778
1439056312.423516 119 62 779
1439056312.671709 166 62 780
1439056312.853229 148 62 781
1439056316.722397 78.7 62 800
1439056316.912982 68.3 62 801
1439056317.633094 173 62 804
1439056318.039640 172 62 806
1439056318.135729 68.8 62 807
1439056318.358115 90.1 62 808
1439056318.670629 202 62 809
1439056318.774203 103 62 810
1439056319.574933 79.3 62 814
1439056320.312676 409 62 816
1439056320.364216 252 62 817
1439056320.424997 112 62 818
1439056321.479012 135 62 823
1439056322.094407 134 62 826
1439056322.304125 144 62 827
1439056322.525186 164 62 828
1439056322.848117 80.5 62 830
1439056323.282662 107 62 832
1439056323.473519 97.7 62 833
1439056323.890742 107 62 835
1439056324.712537 104 62 839
1439056324.898746 90.9 62 840
1439056326.357507 101 62 847
1439056326.676498 219 62 848
1439056327.621231 133 62 853
1439056328.448765 137 62 857
1439056328.654498 142 62 858
1439056329.617246 904 62 859
1439056329.617277 697 62 860
1439056332.363188 123 62 876
1439056333.404456 132 62 881
1439056334.393089 89.5 62 886
1439056334.581069 76.6 62 887
1439056334.805489 100 62 888
1439056334.977726 72.0 62 889
1439056335.198884 92.9 62 890
1439056336.015627 84.0 62 894
1439056336.418801 79.1 62 896
1439056336.628966 88.8 62 897
1439056338.496912 93.3 62 906
1439056338.693297 89.1 62 907
1439056340.461888 202 62 915
1439056340.597779 135 62 916
1439056341.186749 107 62 919
1439056341.448241 168 62 920
1439056342.098158 202 62 923
1439056342.284417 186 62 924
1439056343.086850 163 62 928
1439056343.400327 68.6 62 930
1439056343.648519 115 62 931
1439056343.855099 121 62 932
1439056344.093450 159 62 933
1439056344.222153 88.4 62 934
1439056344.416696 82.2 62 935
1439056344.876785 133 62 937
1439056345.037358 93.3 62 938
1439056345.450575 98.9 62 940
1439056345.643527 91.7 62 941
1439056345.861635 108 62 942
1439056346.226053 66.4 62 944
1439056346.707095 139 62 946
1439056346.861718 93.4 62 947
1439056347.917323 325 62 951
1439056347.917363 117 62 952
1439056349.210076 170 62 958
1439056349.331118 90.8 62 959
1439056349.741960 94.3 62 961
1439056350.756485 284 62 965
1439056351.097038 216 62 967
1439056352.264819 145 62 973
1439056361.029565 181 62 1015
1439056361.453665 198 62 1017
1439056361.704319 248 62 1018
1439056361.821037 157 62 1019
1439056364.460899 309 62 1031
1439056365.644183 252 62 1037
1439056367.264229 216 62 1045
1439056373.119887 476 62 1072
1439056374.716542 624 62 1079
1439056375.196016 896 62 1080
