timestamp rtt ttl seq
1439040394.835363 3.95 61 1
1439040394.835924 4.52 61 1
1439040394.835956 4.55 61 1
1439040395.035952 3.68 61 2
1439040395.040907 8.64 61 2
1439040395.043413 11.1 61 2
1439040395.237383 4.62 61 3
1439040395.237501 4.65 61 3
1439040395.238668 5.92 61 3
1439040395.437483 4.49 61 4
1439040395.439261 6.25 61 4
1439040395.439302 6.27 61 4
1439040395.637228 3.58 61 5
1439040395.638174 4.53 61 5
1439040395.639190 5.56 61 5
1439040395.842935 8.42 61 6
1439040395.843486 8.96 61 6
1439040395.851041 16.5 61 6
1439040396.038778 3.41 61 7
1439040396.040342 5.01 61 7
1439040396.042082 6.76 61 7
1439040396.240284 3.86 61 8
1439040396.241078 4.65 61 8
1439040396.242032 5.62 61 8
1439040396.441524 4.15 61 9
1439040396.441576 4.17 61 9
1439040396.442536 5.17 61 9
1439040396.650618 12.7 61 10
1439040396.652084 14.1 61 10
1439040396.659330 21.4 61 10
1439040396.844861 6.33 61 11
1439040396.850625 12.1 61 11
1439040396.851449 12.9 61 11
1439040397.043506 4.71 61 12
1439040397.046018 7.23 61 12
1439040397.046304 7.51 61 12
1439040397.243630 4.06 61 13
1439040397.243684 4.09 61 13
1439040397.244928 5.38 61 13
1439040397.445633 5.39 61 14
1439040397.446360 6.11 61 14
1439040397.446387 6.13 61 14
1439040397.649180 8.59 61 15
1439040397.649256 8.62 61 15
1439040397.652909 12.3 61 15
1439040397.845200 3.94 61 16
1439040397.847089 5.85 61 16
1439040397.847384 6.15 61 16
1439040398.061200 19.6 61 17
1439040398.061925 20.3 61 17
1439040398.062001 20.3 61 17
1439040398.257872 15.5 61 18
1439040398.259092 16.7 61 18
1439040398.259132 16.7 61 18
1439040398.450750 7.29 61 19
1439040398.451976 8.51 61 19
1439040398.454322 10.8 61 19
1439040398.649570 4.89 61 20
1439040398.651195 6.51 61 20
1439040398.652138 7.49 61 20
1439040398.851890 6.41 61 21
1439040398.852948 7.45 61 21
1439040398.853825 8.35 61 21
1439040399.055752 9.59 61 22
1439040399.055804 9.62 61 22
1439040399.055831 9.63 61 22
1439040399.254500 7.34 61 23
1439040399.256858 9.70 61 23
1439040399.258838 11.6 61 23
1439040399.455787 7.71 61 24
1439040399.457219 9.14 61 24
1439040399.457258 9.16 61 24
1439040399.652801 4.17 61 25
1439040399.675099 26.4 61 25
1439040399.676075 27.4 61 25
1439040399.856641 7.24 61 26
1439040399.858891 9.49 61 26
1439040399.858937 9.51 61 26
1439040400.055175 5.01 61 27
1439040400.064546 14.3 61 27
1439040400.067286 17.1 61 27
1439040400.264418 13.8 61 28
1439040400.264931 14.3 61 28
1439040400.265966 15.3 61 28
1439040400.463423 12.2 61 29
1439040400.463475 12.2 61 29
1439040400.463508 12.2 61 29
1439040400.656301 4.43 61 30
1439040400.666527 14.6 61 30
1439040400.666582 14.6 61 30
1439040400.875272 22.3 61 31
1439040400.875329 22.4 61 31
1439040400.875846 22.9 61 31
1439040401.065832 12.6 61 32
1439040401.065903 12.6 61 32
1439040401.066431 13.2 61 32
1439040401.266158 12.3 61 33
1439040401.267633 13.8 61 33
1439040401.269089 15.3 61 33
1439040401.462683 8.25 61 34
1439040401.475278 20.8 61 34
1439040401.475759 21.3 61 34
1439040401.660687 5.61 61 35
1439040401.662038 6.95 61 35
1439040401.662083 6.98 61 35
1439040401.861536 6.16 61 36
1439040401.861592 6.19 61 36
1439040401.862773 7.43 61 36
1439040402.061167 5.07 61 37
1439040402.061221 5.10 61 37
1439040402.061713 5.64 61 37
1439040402.270800 13.7 61 38
1439040402.270857 13.7 61 38
1439040402.270890 13.8 61 38
1439040402.462373 4.16 61 39
1439040402.471472 13.2 61 39
1439040402.471516 13.2 61 39
1439040402.677218 18.3 61 40
1439040402.679116 20.2 61 40
1439040402.680118 21.2 61 40
1439040402.864454 5.02 61 41
1439040402.865309 5.88 61 41
1439040402.865963 6.21 61 41
1439040403.065847 5.53 61 42
1439040403.085664 25.3 61 42
1439040403.086032 25.7 61 42
1439040403.265446 4.09 61 43
1439040403.267043 5.66 61 43
1439040403.267090 5.69 61 43
1439040403.484208 21.7 61 44
1439040403.484273 21.8 61 44
1439040403.484689 22.2 61 44
1439040403.667305 4.43 61 45
1439040403.685263 22.3 61 45
1439040403.706456 43.6 61 45
1439040403.867215 3.45 61 46
1439040403.878958 15.1 61 46
1439040403.880919 17.1 61 46
1439040404.071707 7.41 61 47
1439040404.071777 7.44 61 47
1439040404.072339 8.07 61 47
1439040404.282125 17.4 61 48
1439040404.282178 17.4 61 48
1439040404.282715 18.0 61 48
1439040404.483410 18.5 61 49
1439040404.484020 19.1 61 49
1439040404.484642 19.7 61 49
1439040404.672611 6.62 61 50
1439040404.673759 7.77 61 50
1439040404.674541 8.56 61 50
1439040404.871145 4.26 61 51
1439040404.871214 4.29 61 51
1439040404.871251 4.31 61 51
1439040405.079548 11.9 61 52
1439040405.080557 13.0 61 52
1439040405.080627 13.0 61 52
1439040405.272700 4.77 61 53
1439040405.274542 6.60 61 53
1439040405.275275 7.34 61 53
1439040405.478994 10.3 61 54
1439040405.479049 10.3 61 54
1439040405.480615 11.9 61 54
1439040405.673163 4.21 61 55
1439040405.673630 4.67 61 55
1439040405.674956 6.00 61 55
1439040405.873974 4.67 61 56
1439040405.874659 5.35 61 56
1439040405.874994 5.68 61 56
1439040406.079987 9.63 61 57
1439040406.080043 9.66 61 57
1439040406.082545 12.2 61 57
1439040406.275301 4.42 61 58
1439040406.275357 4.45 61 58
1439040406.276932 6.08 61 58
1439040406.476869 5.61 61 59
1439040406.478989 7.73 61 59
1439040406.479524 8.27 61 59
1439040406.685867 14.0 61 60
1439040406.687217 15.3 61 60
1439040406.687295 15.4 61 60
1439040406.878379 5.76 61 61
1439040406.878441 5.79 61 61
1439040406.889308 16.7 61 61
1439040407.080599 6.96 61 62
1439040407.081811 8.18 61 62
1439040407.082989 9.36 61 62
1439040407.280820 6.48 61 63
1439040407.280877 6.50 61 63
1439040407.280910 6.52 61 63
1439040407.479852 4.60 61 64
1439040407.482879 7.63 61 64
