timestamp rtt ttl seq
1439053328.850426 22.0 61 1
1439053329.232025 202 61 2
1439053329.677625 247 61 4
1439053329.921937 81.9 61 6
1439053336.745168 265 61 38
1439053337.674901 371 61 42
1439053337.794410 282 61 43
1439053338.017698 305 61 44
1439053338.206856 294 61 45
1439053338.317679 205 61 46
1439053338.594672 282 61 47
1439053338.910237 196 61 49
1439053339.138096 224 61 50
1439053339.750797 227 61 53
1439053340.525240 385 61 56
1439053341.563393 599 61 60
1439053341.576987 405 61 61
1439053341.899815 312 61 63
1439053342.043408 247 61 64
1439053342.164312 168 61 65
1439053342.354046 158 61 66
1439053347.243473 487 61 88
1439053347.243535 279 61 89
1439053347.634772 263 61 91
1439053347.865446 285 61 92
1439053348.032639 252 61 93
1439053349.378491 366 61 99
1439053349.449349 229 61 100
1439053350.001598 379 61 102
1439053351.538477 882 61 107
1439053351.538514 674 61 108
1439053351.538530 466 61 109
1439053351.539294 259 61 110
1439053352.347714 244 61 114
1439053353.202324 274 61 118
1439053355.108207 1148 61 123
1439053355.108242 316 61 127
1439053357.041439 601 61 135
1439053360.313836 566 60 151
1439053361.191614 1027 60 153
1439053363.410942 1595 61 161
1439053364.545565 2105 61 164
1439053366.469521 517 61 181
1439053366.473547 313 61 182
1439053366.505252 137 61 183
1439053366.699302 130 61 184
1439053367.046584 277 61 185
1439053367.085073 115 61 186
1439053367.473065 97.4 61 188
1439053367.673338 97.0 61 189
1439053367.959405 182 61 190
1439053368.097935 120 61 191
1439053368.286909 109 61 192
1439053368.652307 274 61 193
1439053368.690678 103 61 194
1439053368.899635 111 61 195
1439053369.110116 121 61 196
1439053369.288079 99.7 61 197
1439053369.509305 119 61 198
1439053369.727555 138 61 199
1439053370.055892 266 61 200
1439053370.116499 116 61 201
1439053370.309034 109 61 202
1439053370.525426 125 61 203
1439053370.784642 184 61 204
1439053370.999138 198 61 205
1439053371.174786 174 61 206
1439053371.387988 187 61 207
1439053371.928251 320 61 209
1439053372.064667 249 61 210
1439053372.367254 350 61 211
1439053372.505684 288 61 212
1439053372.667251 249 61 213
1439053372.824552 206 61 214
1439053373.251007 232 61 216
1439053373.369163 141 61 217
1439053373.562502 134 61 218
1439053373.777431 148 61 219
1439053374.118122 288 61 220
1439053374.451218 220 61 222
1439053374.530705 91.1 61 223
1439053374.754257 114 61 224
1439053375.002969 162 61 225
1439053375.195045 154 61 226
1439053375.363314 122 61 227
1439053375.540257 98.7 61 228
1439053375.736810 94.3 61 229
1439053375.952732 109 61 230
1439053376.265821 221 61 231
1439053376.382385 130 61 232
1439053376.589915 137 61 233
1439053376.803649 150 61 234
1439053376.980147 126 61 235
1439053377.137893 83.5 61 236
1439053377.371222 116 61 237
1439053377.589125 133 61 238
1439053377.751403 95.0 61 239
1439053378.007555 150 61 240
1439053378.210474 154 61 241
1439053378.335130 78.4 61 242
1439053378.550981 93.5 61 243
1439053378.878015 219 61 244
1439053379.171983 304 61 245
1439053379.350667 81.4 61 247
1439053383.740602 1989 61 259
1439053384.827676 588 61 271
1439053384.991898 544 61 272
1439053385.231778 375 61 274
1439053385.615083 358 61 276
1439053385.778018 314 61 277
1439053386.024133 359 61 278
1439053386.116419 251 61 279
1439053386.989850 514 61 282
1439053387.142992 251 61 284
1439053387.632614 339 61 286
1439053387.993263 299 61 288
1439053388.828607 724 61 290
1439053389.033529 513 61 292
1439053389.462275 734 61 293
1439053389.935948 808 61 295
1439053389.954205 618 61 296
1439053390.231407 694 61 297
1439053390.288846 545 61 298
1439053390.654375 507 61 300
1439053391.453273 897 61 302
1439053391.604204 640 61 304
1439053391.833235 453 61 306
1439053392.046239 465 61 307
1439053392.242156 460 61 308
1439053392.907395 724 61 310
1439053393.176036 584 61 312
1439053393.231122 431 61 313
1439053393.537289 536 61 314
1439053393.598509 397 61 315
1439053393.611113 208 61 316
1439053393.803338 194 61 317
1439053394.399806 591 61 318
1439053394.609995 594 61 319
1439053394.727334 503 61 320
1439053395.269157 644 61 322
1439053395.755753 724 61 324
1439053396.517847 1278 61 325
1439053396.894099 1246 61 327
1439053397.059078 1211 61 328
1439053397.097230 833 61 330
1439053397.251252 779 61 331
1439053397.376913 704 61 332
1439053398.007326 928 61 334
1439053398.844273 948 61 338
1439053399.308818 1005 61 340
1439053399.580659 861 61 342
1439053399.942362 814 61 344
1439053400.216645 681 61 346
1439053400.361541 625 61 347
1439053400.384636 442 61 348
1439053400.648959 307 61 350
1439053401.010495 267 61 352
1439053401.219380 267 61 353
1439053401.754550 602 61 354
1439053401.862286 509 61 355
1439053401.925599 365 61 356
1439053401.962456 197 61 357
1439053402.309835 345 61 358
1439053402.786824 615 61 359
1439053402.839005 259 61 361
1439053403.104083 116 61 363
1439053403.454603 267 61 364
1439053403.746599 150 61 366
1439053403.936900 140 61 367
1439053404.166972 169 61 368
1439053404.419736 223 61 369
1439053404.703220 99.1 61 371
1439053404.909031 104 61 372
1439053405.178271 173 61 373
1439053405.348526 143 61 374
1439053405.786396 170 61 376
1439053405.931737 115 61 377
